,event,date_played,white,black,result,white_elo,white_rating_diff,black_elo,black_rating_diff,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,termination,time_control,utc_date,utc_time,variant,Opening,myrating,hour,time_of_day,type of game
896,Hourly Blitz Arena,2021.02.06,Alexey1941,Jay_1999,Won,1935,-4,2006,5,Jay_1999,2006,Alexey1941,1935,Won agaist high rated player,B10,Resignation/Checkmate,blitz,2021.02.06,2/10/2023 17:03,Standard,Caro-Kann Defense,2011,17,afternoon,afternoon
897,SVIT simul,2021.02.06,Jay_1999,darshil123,Won,2006,0,1658,0,Jay_1999,2006,darshil123,1658,Won against very high rated player,B32,Time forfeit,blitz,2021.02.06,2/10/2023 14:30,Standard,Sicillian Defense,2006,14,afternoon,afternoon
898,SVIT simul,2021.02.06,Jay_1999,TheKnightingale,Won,2006,0,1777,0,Jay_1999,2006,TheKnightingale,1777,Won against very high rated player,D91,Time forfeit,blitz,2021.02.06,2/10/2023 14:30,Standard,Gruenfeld Defense,2006,14,afternoon,afternoon
899,SVIT simul,2021.02.06,Jay_1999,sank410,Won,2006,0,1541,0,Jay_1999,2006,sank410,1541,Won against very high rated player,C62,Time forfeit,blitz,2021.02.06,2/10/2023 14:30,Standard,Ruy Lopez (Spanish Opening),2006,14,afternoon,afternoon
900,Rated Rapid game,2021.02.05,Jay_1999,SplendidWinner,Won,2209,23,2318,-38,Jay_1999,2209,SplendidWinner,2318,Won against very high rated player,B44,Time forfeit,rapid,2021.02.05,2/10/2023 15:10,Standard,Sicillian Defense,2232,15,afternoon,afternoon
901,Rated Blitz game,2021.02.05,Jay_1999,BernieBognot,Lost,2012,-6,2000,6,BernieBognot,2000,Jay_1999,2012,Lost against Similar Rating,C01,Resignation/Checkmate,blitz,2021.02.05,2/10/2023 11:38,Standard,French Defense,2012,11,morning,morning
902,Rated Blitz game,2021.02.04,Capelle1800,Jay_1999,Lost,1978,7,2019,-7,Capelle1800,1978,Jay_1999,2019,Lost against Similar Rating,C31,Resignation/Checkmate,blitz,2021.02.04,2/10/2023 15:31,Standard,King's Gambit,2019,15,afternoon,afternoon
903,Casual Blitz game,2021.02.02,Jay_1999,harsh108,Draw,2019,0,1956,0,draw,0,draw,0,Draw Game,B32,Resignation/Checkmate,blitz,2021.02.02,2/10/2023 15:39,Standard,Sicillian Defense,,15,afternoon,afternoon
904,Casual Blitz game,2021.02.02,harsh108,Jay_1999,Lost,1956,0,2019,0,harsh108,1956,Jay_1999,2019,Lost agaist high rated player,D02,Resignation/Checkmate,blitz,2021.02.02,2/10/2023 15:31,Standard,London System,,15,afternoon,afternoon
905,Casual Blitz game,2021.02.02,Jay_1999,harsh108,Won,2019,0,1956,0,Jay_1999,2019,harsh108,1956,Won agaist high rated player,B00,Resignation/Checkmate,blitz,2021.02.02,2/10/2023 15:28,Standard,Mixed of opening I usually not played,,15,afternoon,afternoon
906,Casual Blitz game,2021.02.02,harsh108,Jay_1999,Won,1956,0,2019,0,Jay_1999,2019,harsh108,1956,Won agaist high rated player,B20,Resignation/Checkmate,blitz,2021.02.02,2/10/2023 15:17,Standard,Sicillian Defense,,15,afternoon,afternoon
907,Casual Blitz game,2021.02.02,Jay_1999,IMaDale,Lost,2019,0,2493,0,IMaDale,2493,Jay_1999,2019,Lost against very high rated player,E92,Resignation/Checkmate,blitz,2021.02.02,2/10/2023 14:27,Standard,King's Indian Defense,,14,afternoon,afternoon
908,Rated Rapid game,2021.02.02,Ifafa,Jay_1999,Won,2185,-5,2190,19,Jay_1999,2190,Ifafa,2185,Won against Similar Rating,B43,Resignation/Checkmate,rapid,2021.02.02,2/10/2023 12:24,Standard,Sicillian Defense,2209,12,afternoon,afternoon
